"","Accuracy","Precison","TPR","FPR","Threshold","Ntrue","Nwrong","Accurate","FalsePositive"
"48",0.117647058823529,0.588235294117647,0.555555555555556,0.104477611940299,0.047,10,7," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113MI 113NY 113WI"
"49",0.117647058823529,0.588235294117647,0.555555555555556,0.104477611940299,0.048,10,7," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113MI 113NY 113WI"
"50",0.117647058823529,0.588235294117647,0.555555555555556,0.104477611940299,0.049,10,7," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113MI 113NY 113WI"
"51",0.117647058823529,0.555555555555556,0.555555555555556,0.119402985074627,0.05,10,8," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113LA 113MI 113NY 113WI"
"52",0.117647058823529,0.555555555555556,0.555555555555556,0.119402985074627,0.051,10,8," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113LA 113MI 113NY 113WI"
"53",0.117647058823529,0.555555555555556,0.555555555555556,0.119402985074627,0.052,10,8," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113LA 113MI 113NY 113WI"
"54",0.117647058823529,0.526315789473684,0.555555555555556,0.134328358208955,0.053,10,9," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118LA 118MS 113IL 113LA 113MI 113NY 113WI"
"55",0.117647058823529,0.526315789473684,0.555555555555556,0.134328358208955,0.054,10,9," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118LA 118MS 113IL 113LA 113MI 113NY 113WI"
"56",0.117647058823529,0.526315789473684,0.555555555555556,0.134328358208955,0.055,10,9," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118LA 118MS 113IL 113LA 113MI 113NY 113WI"
"57",0.117647058823529,0.476190476190476,0.555555555555556,0.164179104477612,0.056,10,11," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118LA 118MS 113AL 113CO 113IL 113LA 113MI 113NY 113WI"
"58",0.117647058823529,0.476190476190476,0.555555555555556,0.164179104477612,0.057,10,11," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118LA 118MS 113AL 113CO 113IL 113LA 113MI 113NY 113WI"
"59",0.129411764705882,0.5,0.611111111111111,0.164179104477612,0.058,11,11," 118IL 118KS 118SC 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118LA 118MS 113AL 113CO 113IL 113LA 113MI 113NY 113WI"
"60",0.129411764705882,0.5,0.611111111111111,0.164179104477612,0.059,11,11," 118IL 118KS 118SC 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118LA 118MS 113AL 113CO 113IL 113LA 113MI 113NY 113WI"
"61",0.129411764705882,0.44,0.611111111111111,0.208955223880597,0.06,11,14," 118IL 118KS 118SC 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AR 118CA 118CO 118KY 118LA 118MS 113AL 113AZ 113CO 113IL 113LA 113MI 113NY 113WI"
"62",0.129411764705882,0.44,0.611111111111111,0.208955223880597,0.061,11,14," 118IL 118KS 118SC 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AR 118CA 118CO 118KY 118LA 118MS 113AL 113AZ 113CO 113IL 113LA 113MI 113NY 113WI"
"63",0.129411764705882,0.44,0.611111111111111,0.208955223880597,0.062,11,14," 118IL 118KS 118SC 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AR 118CA 118CO 118KY 118LA 118MS 113AL 113AZ 113CO 113IL 113LA 113MI 113NY 113WI"
"64",0.129411764705882,0.44,0.611111111111111,0.208955223880597,0.063,11,14," 118IL 118KS 118SC 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AR 118CA 118CO 118KY 118LA 118MS 113AL 113AZ 113CO 113IL 113LA 113MI 113NY 113WI"
"65",0.129411764705882,0.44,0.611111111111111,0.208955223880597,0.064,11,14," 118IL 118KS 118SC 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AR 118CA 118CO 118KY 118LA 118MS 113AL 113AZ 113CO 113IL 113LA 113MI 113NY 113WI"
"66",0.129411764705882,0.44,0.611111111111111,0.208955223880597,0.065,11,14," 118IL 118KS 118SC 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AR 118CA 118CO 118KY 118LA 118MS 113AL 113AZ 113CO 113IL 113LA 113MI 113NY 113WI"
"67",0.129411764705882,0.44,0.611111111111111,0.208955223880597,0.066,11,14," 118IL 118KS 118SC 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AR 118CA 118CO 118KY 118LA 118MS 113AL 113AZ 113CO 113IL 113LA 113MI 113NY 113WI"
